NMML #,FAMILY,GENUS,SPECIES,SUBSPECIES,COLLECTION DATE,COUNTRY,STATE,ISLAND GRP,LOCATION,OCEAN,SEA,OTHER,LAT,N/S,LONG,E/W,COLLECTOR 1,Other COLLECTORS,COLLECTOR #,SOURCE,DATE Cataloged,SEX,AGE,TLength Fld,TLength Lab,WEIGHT (Kg),SpecimenType,OCCUR,SpecimenCondition,SpecimenDisposition,SpecimenLocation,Availability,AdditionalDATA,DATALOC1,DATALOC2,REMARKS
NMML0001,Ziphiidae,Mesoplodon,stejnegeri,,20-May-68,USA,Alaska,,,Pacific,,Gulf of Alaska,5704,N,13632,W,"Fiscus, C.H.","Johnson, A.M.",1968-68,Pelagic Fur Seal Inv,23-Jun-80,M,,(370-460)*,,,G,,,,,,y,files,,"*TL converted from estimate of 12-15ft., collected from M/V New St. Joseph"
NMML0002,Ziphiidae,Mesoplodon,stejnegeri,,28-Jun-79,USA,Alaska,Aleutian Islands,Tanaga Island,North Pacific,,Tanaga Bay,514630,N,1780100,W,"Loughlin, T.R.","Johnson, A.; Rugh, D.",BDM 618,,23-Jun-80,U,,(468)*,,,M,2,4,,Museum,,n,,,TL converted.
NMML0003,Ziphiidae,Mesoplodon,stejnegeri,,28-Jun-79,USA,Alaska,Aleutian Islands,Tanaga Island,North Pacific,,Tanaga Bay,514630,N,1780100,W,"Loughlin, T.R.","Johnson, A., Rugh, D.",BDM 619,,23-Jun-80,U,,(505)*,,,M,2,4,,Museum,,n,,,TL converted.
NMML0004,Ziphiidae,Ziphius,cavirostris,,7-Jun-68,USA,Alaska,Aleutian Islands,Alkun Island,North Pacific,,Trident Bay,540900,N,1653300,W,"Fiscus, C.H.","Johnson, A.",1968-69,Pelagic Fur Seal Pro,23-Jun-80,U,,,,,G,2,5,,Museum,,y,file,,No mandibles.
NMML0005,Ziphiidae,Ziphius,cavirostris,,8-Feb-65,,,,,North Pacific,,,230000,N,1101600,W,"Rice, D.W.",et. al.,1192,Whale Research Group,23-Jun-80,M,,315,,,G,1,1,,Museum,,y,file,,
NMML0006,Ziphiidae,Ziphius,cavirostris,,,,,,,,,,,,,,,,,,23-Jun-80,U,,,,,?,4,5,,Museum,,n,,,
NMML0007,Ziphiidae,Berardius,bairdii,,2-Oct-65,,,,,North Pacific,,,374400,N,1231800,W,"Wolman, A.A.","Rice, D.W.",1965-119,Golden Gate Fish Co,23-Jun-80,M,,(999)*,,,G,1,1,,Museum,,y,file,,"TL converted from 32' 9""."
NMML0008,Ziphiidae,Berardius,bairdii,,2-Oct-65,,,,,North Pacific,,,374400,N,1231800,W,"Wolman, A.A.","Rice, D.W.",1965-120,Golden Gate Fish Co,23-Jun-80,M,,(1017)*,,,G,1,1,,Museum,,y,file,,"TL converted from 33' 4""."
NMML0009,Ziphiidae,Berardius,bairdii,,15-Nov-78,USA,Alaska,Aleutian Islands,Unimak Island,North Pacific,Bering Sea,,543936,N,1644300,W,"Rugh, D.","Taber, A.",,,23-Jun-80,U,,,,,M,2,5,,Museum,,y,photo/file,,No mandibles.
NMML0010,Ziphiidae,Berardius,bairdii,,5-Sep-79,,,,,North Pacific,,,550200,N,1674600,W,"Cacela, D.",,1979-3,,23-Jun-80,U,,,,,G,5,5,,Museum,,y,file,,"No mandibles, Cruise #375, Eikyu Maru, skull only caught in trawl."
NMML0011,Ziphiidae,Berardius,bairdii,,1977,USA,Alaska,Pribilof Islands,St. Paul Island,North Pacific,,,,,,,"Stroud, R.K.",,1979,,23-Jun-80,M,,(1036.3)*,,,G,2,5,,Museum,,y,Coll notes,,TL converted from estimate of 34 ft.
NMML0012,Physeteridae,Physeter,macrocephalus,,7-Nov-68,,,,,Pacific,,,373800,N,1234500,W,"Lenheim, B.",,1968-235,Del Monte Food Co,23-Jun-80,F,,(432)*,,,G,1,1,,Museum,,y,file,,"TL converted from 14' 2""."
NMML0013,Kogiidae,Kogia,breviceps,,30-Dec-69,USA,California,Santa Cruz,S.C. 17th Ave Beach,Pacific,,,,,,,"DeLong, R.L.",,1969-205,,23-Jun-80,F,,(320)*,,,G,2,5,,Museum,,y,file,,"TL converted from 10' .5""."
NMML0014,Delphinidae,Stenella,attenuata,,18-Feb-65,,,,,North Pacific,,,212100,N,1053000,W,"Balcomb, K.C.",,1965-1,Whale Research Pro,23-Jun-80,F,,206,,81,G,1,1,,Museum,,y,file,,Vessel was Sioux City.
NMML0015,Delphinidae,Stenella,attenuata,,21-Feb-66,,,,,Pacific,,,225800,N,1062100,W,"Rice, D.W.","Balcomb, K.",1966-3,Whale Research Pro,23-Jun-80,M,,206,,76,G,1,1,,Museum,,y,file,,
NMML0016,Delphinidae,Stenella,longirostris,,28-Mar-64,USA,Hawaii,Hawaiian Islands,Oaku Island,Pacific,,Pokai Bay,,,,,Waikiki Aquarium,,1194,Waikiki Aquarium,23-Jun-80,F,,172,,,G,1,1,,Museum,,y,file,,Received from Waikiki Aquarium APR 1965.
NMML0017,Delphinidae,Stenella,longirostris,,1965,Costa Rica,,,unknown *,North Pacific,,,,,,,"Rice, D.W.","Wolman, A.",1965-149,American Whole. Groc,23-Jun-80,M,,174,,52,G,4,5,,Museum,,y,file,,Received from American Wholesale Groc.  on 16 NOV 1965.  Location questionable.
NMML0018,Delphinidae,Stenella,longirostris,,17-Feb-67,,,,,Pacific,,,214300,N,1064700,W,"Rice, D.W.","Kasuya, T.",1967-102,Whale Research Pro,23-Jun-80,F,,(166)*,,,G,1,1,,Museum,,y,file,,"TL converted from 65.25""."
NMML0019,Delphinidae,Delphinus,delphis,,22-Feb-59,,,,,North Pacific,,,353100,N,1213500,W,"Fiscus, C.H.",,TAC-59-3B,Pelagic Fur Seal Pro,23-Jun-80,F,,,,78.5,G,1,1,,Museum,,y,file,,Vessel was the Tacoma
NMML0020,Delphinidae,Delphinus,delphis,,20-Mar-59,,,,,Pacific,,,355200,N,1213100,W,"Juelson, T.",,MS-59-4B,Pelagic Fur Seal Pro,23-Jun-80,M,,,,,G,1,1,,Museum,,y,file,,Vessel was the Morning Star.
NMML0021,Delphinidae,Delphinus,delphis,,18-Nov-62,,,,,Pacific,,,324000,N,1180000,E,"Rice, D.W.","McIntyre, T.",761,Whale Research Pro,23-Jun-80,M,,191,,,G,1,1,,Museum,,y,file,,
NMML0022,Delphinidae,Delphinus,delphis,,12-Jan-64,,,,,Pacific,,,333000,N,1181700,W,"Rice, D.W.",et. al.,987,Whale Research Pro,23-Jun-80,F,,178,,63,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0023,Delphinidae,Delphinus,delphis,,24-Jan-64,,,,,Pacific,,,331500,N,1190200,W,"Rice, D.W.",,988,Whale Research Pro,23-Jun-80,M,,208,,,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0024,Delphinidae,Delphinus,delphis,,13-May-66,USA,California,,Mulega,Pacific,,,,,,,"King, J.",,JK-1,,23-Jun-80,U,,,,,G,2,4,,Museum,,n,,,No mandibles.
NMML0025,Delphinidae,Delphinus,delphis,,18-Mar-69,,,,,Pacific,,,245400,N,1122700,W,"Rice, D.W.",,1969-81,Whale Research Pro,23-Jun-80,M,,196,,,E,1,1,,Museum,,y,file,,Vessel was the Sioux City.
NMML0026,Delphinidae,Grampus,griseus,,20-Apr-67,USA,Washington,Clallam County,Makkaw Beach,North Pacific,,,482000,N,1244000,W,"Stroud, R.K.","Iwanaga, P.",MMBL3769,Pelagic Fur Seal Pro,24-Jun-80,M,,258,,,B,2,3,,Museum,,y,file,,"Voucher specimen; see Stroud, R.K., Journal of Mamm. Vol 49, No 2, 1968"
NMML0027,Delphinidae,Tursiops,truncatus,,1967,USA,Texas,,Galveston,Atlantic,,Gulf of Mexico,,,,,"Brown, S.G.",,,,24-Jun-80,U,,,,,G,4,5,,Museum,,n,,,
NMML0028,Delphinidae,Tursiops,truncatus,,16-Feb-65,,,,,Pacific,,,213900,N,1064200,W,"Rice, D.W.",,1193,Whale Research Pro,24-Jun-80,F,,242,,,G,1,1,,Museum,,y,file,,
NMML0029,Delphinidae,Tursiops,truncatus,,3-Feb-66,,,,,Pacific,,,242400,N,1122200,W,"Balcomb, K.C.",,1966-1,Whale Research Pro,24-Jun-80,F,,255,,187,G,1,1,,Museum,,y,file,,Vessel was the Sioux City.
NMML0030,Delphinidae,Tursiops,truncatus,,2-Jun-62,USA,Florida,,Marathon,Atlantic,,,,,,,"Scheffer, V.B.","Wilke, F.",BDM 563,Seattle Marine Aqu,24-Jun-80,M,,167,,,G,1,1,,Museum,,y,BDM cat.,,"Photos VBS 4927, 4928.  Died in transit from Florida."
NMML0031,Delphinidae,Tursiops,truncatus,,2-Jun-62,USA,Florida,,Marathon,North Atlantic,,,,,,,"Scheffer, V.B.","Wilke, F.",BDM 564,Seattle Marine Aqu,24-Jun-80,M,,204,,,G,1,1,,Museum,,y,BDM cat.,,"Photos VBS 4927, 4928.  Died in transit from Florida."
NMML0032,Delphinidae,Lagenorhynchus,obliquidens,,26-Jan-61,,,,,North Pacific,,Fitzhugh Sound,514500,N,1280000,W,"Niggol, K.",,US-61-P1,Pelagic Fur Seal Pro,27-Jun-80,F,,175,,,G,1,1,,Museum,,y,file,,Vessel was M/V Harmony.
NMML0033,Delphinidae,Lagenorhynchus,obliquidens,,14-Feb-59,,,,,Pacific,,,351600,N,1213500,W,"Fiscus, C.H.",,TAC-59-1,Pelagic Fur Seal Pro,27-Jun-80,F,,183,,84,G,1,1,,Museum,,y,file,,No mandibles.  Vessel was the Tacoma.
NMML0034,Delphinidae,Lagenorhynchus,obliquidens,,8-Jan-64,,,,,Pacific,,,340700,N,1204600,W,"Rice, D.W.",et. al.,985,Whale Research Pro,27-Jun-80,F,,186,,91,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0035,Delphinidae,Lagenorhynchus,obliquidens,,12-Dec-65,,,,,Pacific,,,323700,N,1185600,w,"Ekberg, R.K.","Balcomb, K.C.; Wolman, A.",1965-175,Whale Research Pro,27-Jun-80,F,,180,,97,G,1,1,,Museum,,y,file,,Fetus in alcohol.  Vessel was the Sioux City.
NMML0036,Delphinidae,Lagenorhynchus,obliquidens,,8-Feb-68,,,,,Pacific,,,334800,N,1194300,W,"Lenheim, B.",,1968-103,Whale Research Pro,27-Jun-80,F,,186,,88.5,G,1,1,,Museum,,y,file,,Vessel was the Allen Cody.
NMML0037,Delphinidae,Lagenorhynchus,obliquidens,,27-Jun-69,USA,Washington,,Hood Canal Bridge,Pacific,,Hood Canal,474500,N,1224500,W,"Wolman, A.A.",,1969-54,,27-Jun-80,F,,190,,,M,2,4,,Museum,,y,file,,
NMML0038,Delphinidae,Lagenorhynchus,obliquidens,,3-Apr-69,,,,,Pacific,,,352600,N,1214100,W,"Rice, D.W.",et. al.,1969-82,Whale Research Pro,27-Jun-80,F,,166,,59,G,1,1,,Museum,,y,file,,Vessel was the Sioux City.
NMML0039,Delphinidae,Lagenorhynchus,obliquidens,,17-Feb-66,,,,,Pacific,,,362300,N,1221400,W,"Stroud, R.K.",,3206,Pelagic Fur Seal Pro,27-Jun-80,M,,180,,78,G,1,1,,Museum,,y,file,,Vessel was the M/V Lynnann.
NMML0040,Delphinidae,Lagenorhynchus,obliquidens,,3-Mar-66,,,,,Pacific,,,372000,N,1233800,W,"Stroud, R.K.",,3207,Pelagic Fur Seal Pro,27-Jun-80,F,,177,,83,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0041,Phocidae,Mirounga,angustirostris,,3-Apr-80,USA,Washington,,Long Beach,Pacific,,,,,,,"Beach, R.J.",,RJB 35,,2-Jul-80,M,,,,,G,2,5,,Museum,,u,,,
NMML0042,Phocidae,Phoca,vitulina,,3-Apr-80,USA,Washington,,Chinook Point,Pacific,,,,,,,"Beach, R.J.",,RJB 34,,2-Jul-80,F,,,,,G,2,5,,Museum,,n,,,
NMML0043,Delphinidae,Lagenorhynchus,obliquidens,,9-Mar-66,,,,,Pacific,,,350400,N,1213300,W,"Stroud, R.K.",,3208,Pelagic Fur Seal Pro,2-Jul-80,F,,162.5,,66,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0044,Delphinidae,Lagenorhynchus,obliquidens,,5-Mar-66,,,,,Pacific,,,362900,N,1223000,W,"Stroud, R.K.",,3209,Pelagic Fur Seal Pro,2-Jul-80,F,,173,,78,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0045,Delphinidae,Lagenorhynchus,obliquidens,,5-Mar-66,,,,,Pacific,,,362900,N,1223000,W,"Stroud, R.K.",,3210,Pelagic Fur Seal Pro,2-Jul-80,F,,179,,89,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0046,Delphinidae,Lagenorhynchus,obliquidens,,5-Mar-66,,,,,Pacific,,,362900,N,1223000,W,"Stroud, R.K.",,3211,Pelagic Fur Seal Pro,2-Jul-80,M,,177,,84,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0047,Delphinidae,Lagenorhynchus,obliquidens,,5-Mar-66,,,,,Pacific,,,362900,N,1223000,W,"Stroud, R.K.",,3212,Pelagic Fur Seal Pro,2-Jul-80,F,,171,,69,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0048,Delphinidae,Lagenorhynchus,obliquidens,,5-Mar-66,,,,,Pacific,,,362900,N,1223000,W,"Stroud, R.K.",,3213,Pelagic Fur Seal Pro,2-Jul-80,M,,183.5,,99,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0049,Delphinidae,Lagenorhynchus,obliquidens,,5-Mar-66,,,,,Pacific,,,362900,N,1223000,W,"Stroud, R.K.",,3214,Pelagic Fur Seal Pro,2-Jul-80,M,,174,,82,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0050,Delphinidae,Lagenorhynchus,obliquidens,,5-Mar-66,,,,,Pacific,,,362700,N,1222700,W,"Stroud, R.K.",,3215,Pelagic Fur Seal Pro,2-Jul-80,M,,151,,58,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0051,Delphinidae,Lagenorhynchus,obliquidens,,10-Mar-66,,,,,Pacific,,,350800,N,1212500,W,"Stroud, R.K.",,3216,Pelagic Fur Seal Pro,9-Jul-80,F,,191,,101,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0052,Delphinidae,Lagenorhynchus,obliquidens,,10-Mar-66,,,,,Pacific,,,350800,N,1212500,W,"Stroud, R.K.",,3217,Pelagic Fur Seal Pro,9-Jul-80,F,,181,,81,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0053,Delphinidae,Lagenorhynchus,obliquidens,,10-Mar-66,,,,,Pacific,,,350800,N,1212500,W,"Stroud, R.K.",,3218,Pelagic Fur Seal Pro,9-Jul-80,F,,174,,83,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0054,Delphinidae,Lagenorhynchus,obliquidens,,22-Mar-66,,,,,Pacific,,,360200,N,1215800,W,"Stroud, R.K.",,3219,Pelagic Fur Seal Pro,9-Jul-80,F,,188,,93,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0055,Delphinidae,Lagenorhynchus,obliquidens,,23-Mar-66,,,,,Pacific,,,364100,N,1222400,W,"Stroud, R.K.",,3220,Pelagic Fur Seal Pro,9-Jul-80,F,,179,,85,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0056,Delphinidae,Lagenorhynchus,obliquidens,,25-Mar-66,,,,,Pacific,,,373700,N,1230700,W,"Stroud, R.K.",,3221,Pelagic Fur Seal Pro,9-Jul-80,F,,172,,83,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0057,Delphinidae,Lagenorhynchus,obliquidens,,25-Mar-66,,,,,Pacific,,,374000,N,1230800,W,"Stroud, R.K.",,3222,Pelagic Fur Seal Pro,9-Jul-80,F,,173,,72,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0058,Delphinidae,Lagenorhynchus,obliquidens,,25-Mar-66,,,,,Pacific,,,374200,N,1230800,W,"Stroud, R.K.",,3223,Pelagic Fur Seal Pro,11-Jul-80,F,,159,,65,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0059,Delphinidae,Lagenorhynchus,obliquidens,,25-Mar-66,,,,,Pacific,,,374500,N,1231300,W,"Stroud, R.K.",,3224,Pelagic Fur Seal Pro,11-Jul-80,M,,186,,91,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0060,Delphinidae,Lagenorhynchus,obliquidens,,25-Feb-68,,,,,Pacific,,,461400,N,1243400,W,"Stroud, R.K.",,3270,Pelagic Fur Seal Pro,11-Jul-80,F,,177,,86,G,1,1,,Museum,,y,file,,
NMML0061,Delphinidae,Lagenorhynchus,obliquidens,,26-Feb-68,,,,,Pacific,,,461400,N,1243300,W,"Stroud, R.K.",,3272,Pelagic Fur Seal Pro,11-Jul-80,M,,152,,59,G,1,1,,Museum,,y,file,,
NMML0062,Delphinidae,Lagenorhynchus,obliquidens,,26-Feb-68,,,,,Pacific,,,461400,N,1243300,W,"Stroud, R.K.",,3273,Pelagic Fur Seal Pro,11-Jul-80,F,,167,,71,G,1,1,,Museum,,y,file,,
NMML0063,Delphinidae,Lagenorhynchus,obliquidens,,26-Feb-68,,,,,Pacific,,,461400,N,1243300,W,"Stroud, R.K.",,3275,Pelagic Fur Seal Pro,11-Jul-80,F,,178,,82,G,1,1,,Museum,,y,file,,
NMML0064,Delphinidae,Lagenorhynchus,obliquidens,,26-Feb-68,,,,,Pacific,,,461400,N,1244000,W,"Stroud, R.K.",,3277,Pelagic Fur Seal Pro,11-Jul-80,F,,165,,67,G,1,1,,Museum,,y,file,,
NMML0065,Delphinidae,Lagenorhynchus,obliquidens,,25-Apr-72,,,,,Pacific,,,472800,N,1255200,W,"Fiscus, C.H.","Larson, R.",3279,Pelagic Fur Seal Pro,11-Jul-80,F,,179.5,,85,B,1,1,,Museum,,y,file,,
NMML0066,Delphinidae,Lagenorhynchus,obliquidens,,25-Feb-66,,,,,Pacific,,,374600,N,1232600,W,"Ross, D.","Fiscus, C.",3760,Pelagic Fur Seal Pro,11-Jul-80,F,,178,,76,B,1,1,,Museum,,y,file,,
NMML0067,Delphinidae,Lagenorhynchus,obliquidens,,25-Feb-66,,,,,Pacific,,,374600,N,1232600,W,"Fiscus, C.H.",,3761,Pelagic Fur Seal Pro,15-Jul-80,F,,172,,75,G,1,1,,Museum,,y,file,,
NMML0068,Delphinidae,Lagenorhynchus,obliquidens,,25-Feb-66,,,,,Pacific,,,374600,N,1232600,W,"Ross, D.","Fiscus, C.",3763,Pelagic Fur Seal Pro,15-Jul-80,F,,172,,74,G,1,1,,Museum,,y,file,,
NMML0069,Delphinidae,Lagenorhynchus,obliquidens,,25-Feb-66,,,,,Pacific,,,374600,N,1232600,W,"Ross, D.","Fiscus, C.",3764,Pelagic Fur Seal Pro,15-Jul-80,F,,178,,78,G,1,1,,Museum,,y,file,,
NMML0070,Delphinidae,Lagenorhynchus,obliquidens,,25-Feb-66,,,,,Pacific,,,374600,N,1232600,W,"Ross, D.","Fiscus, C.",3765,Pelagic Fur Seal Pro,15-Jul-80,F,,167.5,,73,G,1,1,,Museum,,y,file,,
NMML0071,Delphinidae,Lagenorhynchus,obliquidens,,25-Feb-66,,,,,Pacific,,,374600,N,1243000,W,"Ross, D.","Fiscus, C.",3766,Pelagic Fur Seal Pro,15-Jul-80,M,,172,,79,G,1,1,,Museum,,y,file,,
NMML0072,Delphinidae,Lagenorhynchus,obliquidens,,25-Feb-66,,,,,Pacific,,,374600,N,1232600,W,"Ross, D.","Fiscus, C.",3767,Pelagic Fur Seal Pro,15-Jul-80,F,,176,,78,G,1,1,,Museum,,y,file,,
NMML0073,Delphinidae,Lagenorhynchus,obliquidens,,25-Feb-66,,,,,Pacific,,,374600,N,1232600,W,"Ross, D.","Fiscus, C.",3768,Pelagic Fur Seal Pro,15-Jul-80,F,,173.5,,77,G,1,1,,Museum,,y,file,,
NMML0074,Delphinidae,Lagenorhynchus,obliquidens,,19-Jun-65,,,,,Pacific,,,362500,N,1223100,W,"Kajimura, H.",,3790,Pelagic Fur Seal Pro,15-Jul-80,F,,168,,73,G,1,1,,Museum,,y,file,,
NMML0075,Delphinidae,Lagenorhynchus,obliquidens,,19-Jun-65,,,,,Pacific,,,362500,N,1223100,W,"Kajimura, H.",,3791,Pelagic Fur Seal Pro,15-Jul-80,M,,172,,75,G,1,1,,Museum,,y,file,,
NMML0076,Delphinidae,Lissodelphis,borealis,,27-Mar-80,USA,Oregon,,Seaside Beach,Pacific,,,455846,N,1235558,W,"Beach, R.J.",,RJB 33,,16-Jul-80,F,,184,,,B,2,1,,Museum,,y,file,,
NMML0077,Delphinidae,Orcinus,orca,,20-May-60,,,,Chiniak Bay,North Pacific,,Gulf of Alaska,574600,N,1521300,W,"Niggol, K.",,60-1,Pelagic Fur Seal Pro,17-Jul-80,M,,518.5*,,,G,1,1,,Museum,,y,file,,TL questionable.
NMML0078,Delphinidae,Orcinus,orca,,9-Mar-61,,,,,Pacific,,,372900,N,1225800,W,"Fiscus, C.H.",,61-1K,Pelagic Fur Seal Pro,17-Jul-80,M,,760,,,G,1,1,,Museum,,y,file,,
NMML0079,Delphinidae,Orcinus,orca,,1-Jul-63,,,,,Pacific,,,375700,N,1230400,W,"Maurer, F.W.",,832,Golden Gate Fish Co,17-Jul-80,M,,724,,,G,1,1,,Museum,,y,file,,
NMML0080,Delphinidae,Orcinus,orca,,9-Jan-64,,,,,Pacific,,,335000,N,1203100,W,"Rice, D.W.",et. al.,986,Whale Research Pro,17-Jul-80,F,,565,,2365,G,1,1,,Museum,,y,file,,
NMML0081,Delphinidae,Orcinus,orca,,22-Mar-65,,,,,Pacific,,,342300,N,1211600,W,"Balcomb, K.C.",,1965-4,Whale Research Pro,17-Jul-80,M,,740,,,G,1,1,,Museum,,y,file,,
NMML0082,Delphinidae,Orcinus,orca,,22-Sep-66,,,,,North Pacific,,,,,,,"Ekberg, J.E.",,1966-145,Del Monte Food Co,17-Jul-80,M,,731,,,G,1,1,,Museum,,y,file,,
NMML0083,Delphinidae,Orcinus,orca,,16-May-67,,,,Yukon Harbor,North Pacific,,Puget Sound,,,,,"Rice, D.W.","Wolman, A.",1967-100,Seattle Marine Aqu,17-Jul-80,M,,261,,(216)*,G,1,1,,Museum,,y,file,,"Wt converted from 475 lbs., captured FEB 1967."
NMML0084,Delphinidae,Orcinus,orca,,5-Jul-67,,,,,Pacific,,,375200,N,1240200,W,"Lenheim, B.",,1967-157,Del Monte Food Co,17-Jul-80,M,,657,,,G,1,1,,Museum,,y,file,,
NMML0085,Delphinidae,Orcinus,orca,,10-Aug-67,,,,,Pacific,,,381000,N,1234500,W,"Lenheim, B.",,1967-175,Del Monte Food Co,17-Jul-80,F,,508,,,G,1,1,,Museum,,y,file,,
NMML0086,Delphinidae,Orcinus,orca,,20-Nov-70,,,,Whidbey Island,Pacific,,Puget Sound,,,,,"Wolman, A.A.",,1970-101,Seattle Marine Aqu,18-Jul-80,M,,319,,,M,1,1,,Museum,,y,file,,
NMML0087,Delphinidae,Orcinus,orca,,12-Feb-66,,,,,Pacific,,,351900,N,1205500,W,"Stroud, R.K.",,3204,Pelagic Fur Seal Pro,18-Jul-80,M,,630,,,G,1,1,,Museum,,y,file,,Vessel was the Lynnann.
NMML0088,Delphinidae,Orcinus,orca,,23-Feb-67,,,,,Pacific,,Puget Sound,473200,N,1223100,W,"Fiscus, C.H.","Kajimura, H.; Keyes, M.",3264,Seattle Marine Aqu,18-Jul-80,M,,384.5,,,M,1,1,,Museum,,y,file,,
NMML0089,Delphinidae,Orcinus,orca,,28-Feb-67,,,,,Pacific,,Puget Sound,473200,N,1223100,W,"Fiscus, C.H.","Kajimura, H.; Keyes, M.",3266,Seattle Marine Aqu,18-Jul-80,M,,698,,,G,1,1,,Museum,,y,file,,
NMML0090,Delphinidae,Orcinus,orca,,1-Aug-68,,,,,North Pacific,,Gulf of Alaska,543300,N,1655400,W,"Stroud, R.K.",,3774,Pelagic Fur Seal Pro,18-Jul-80,F,,492,,,G,1,1,,Museum,,y,file,,
NMML0091,Delphinidae,Psuedorca,crassidens,,22-Feb-66,,,,,Pacific,,,215100,N,1055600,W,"Rice, D.W.","Balcomb, K.",1966-4,Whale Research Pro,18-Jul-80,M,,368,,,G,1,1,,Museum,,y,file,,Vessel was the Sioux City.
NMML0092,Delphinidae,Globicephala,macrorhynchus,,27-Nov-62,,,,,Pacific,,,324600,N,1182400,W,"Rice, D.W.","McIntyre, T.",762,,22-Jul-80,F,,441,,,G,1,1,,Museum,,y,file,,
NMML0093,Delphinidae,Globicephala,macrorhynchus,,17-Dec-64,,,,,Pacific,,,324100,N,1191500,W,"Rice, D.W.",,1190,,22-Jul-80,F,,441,,,,1,1,,Museum,,y,file,,
NMML0094,Delphinidae,Globicephala,macrorhynchus,,16-Feb-67,,,,,Pacific,,,220800,N,1074700,W,"Rice, D.W.","Kasuya, T.",1967-101,,22-Jul-80,F,,429,,,G,1,1,,Museum,,y,file,,
NMML0095,Delphinidae,Globicephala,macrorhynchus,,30-Mar-68,,,,Pleasant Harbor,Pacific,Puget Sound,Hood Canal,,,,,"Rice, D.W.","Wolman, A.A.",1968-106,Seattle Marine Aqu,22-Jul-80,M,,305,,,B,1,1,,Museum,,y,file,,Captured 24 MAR 1968.
NMML0096,Delphinidae,Lissodelphis,borealis,,11-Mar-65,,,,,Pacific,,,335700,N,1210300,W,"Balcomb, K.C.",,1965-2,Whale Research Pro,24-Jul-80,M,,202,,,G,1,1,,Museum,,y,file,,
NMML0097,Delphinidae,Lissodelphis,borealis,,20-Mar-65,,,,,Pacific,,,333700,N,1192200,W,"Balcomb, K.C.",,1965-3,Whale Research Pro,24-Jul-80,M,,279,,,G,1,1,,Museum,,y,file,,
NMML0098,Delphinidae,Lissodelphis,borealis,,20-Jan-68,,,,,Pacific,,,350200,N,1210200,W,"Lenheim, B.",,1968-101,Whale Research Pro,24-Jul-80,M,,216,,,G,1,1,,Museum,,y,file,,
NMML0099,Delphinidae,Lissodelphis,borealis,,14-Feb-68,,,,,Pacific,,,341500,N,1204800,W,"Lenheim, B.",Ramsey,1968-105,Whale Research Pro,24-Jul-80,M,,213,,,G,1,1,,Museum,,y,file,,
NMML0100,Delphinidae,Lissodelphis,borealis,,9-Mar-69,,,,,Pacific,,,321000,N,1183300,W,"Rice, D.W.",,1969-80,Whale Research Pro,24-Jul-80,F,,201,,,M,1,1,,Museum,,y,file,,
NMML0101,Phocoenidae,Phocoena,phocoena,,18-Aug-63,USA,Alaska,Pribilof Islands,St. Paul Is.,North Pacific,Bering Sea,,,,,,"Peterson, R.S.",,,,24-Jul-80,U,,,,,G,4,5,,Museum,,n,,,
NMML0102,Phocoenidae,Phocoena,phocoena,,FALL 1963,USA,Washington,,,North Pacific,,Puget Sound,,,,,"Rice, D.W.","Nishiwak, M.",984,,24-Jul-80,M,,149,,,H,4,5,,Bldg4,,Y,Specimen file,,"Mounted specimen on display in small conference room, NMML, Bldg4"
NMML0103,Phocoenidae,Phocoena,phocoena,,29-Apr-67,USA,Washington,,Westport,North Pacific,,,,,,,"Stroud, R.K.",,3770,Pelagic Fur Seal Pro,24-Jul-80,M,,124.5,,,G,2,3,,Museum,,y,file,,
NMML0104,Phocoenidae,Phocoena,phocoena,,Aug-67,,,,,North Pacific,,,535300,N,1663200,W,"Fiscus, C.H.",,3771,"Dyakonoff, W.",24-Jul-80,U,,,,,G,5,1,,Museum,,y,file,,
